City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Galle,LK,77.0,broken clouds,6.04,80.22,Amangalla
12,Avarua,CK,84.2,overcast clouds,-21.21,-159.78,Paradise Inn
14,Santa Maria Da Vitoria,BR,75.97,scattered clouds,-13.39,-44.19,Pousada do Rio Corrente
15,Jaciara,BR,80.64,overcast clouds,-15.97,-54.97,Taba Hotel
18,Atuona,PF,78.44,clear sky,-9.8,-139.03,Villa Enata
27,Teshie,GH,82.4,few clouds,5.58,-0.11,ANAIVEH SERVICES
30,Poum,NC,79.86,clear sky,-20.23,164.02,Gîte kajeon
33,Kununurra,AU,82.4,scattered clouds,-15.77,128.73,Hotel Kununurra
36,Kapaa,US,82.4,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
37,Butaritari,KI,81.46,scattered clouds,3.07,172.79,Isles Sunset Lodge
38,Yulara,AU,77.0,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
40,Kandrian,PG,86.7,overcast clouds,-6.22,149.55,Kandrian Station
51,Flinders,AU,75.0,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
58,Ambulu,ID,78.22,broken clouds,-8.35,113.61,Hotel Ambulu Jember
60,Kralendijk,BQ,82.4,scattered clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
61,Kavieng,PG,84.81,few clouds,-2.57,150.8,Nusa Island Retreat
68,Port Blair,IN,78.98,few clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
71,Rikitea,PF,76.51,light rain,-23.12,-134.97,Pension Maro'i
75,Cabo San Lucas,MX,77.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
76,Hilo,US,84.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
81,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
83,Kahului,US,84.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
86,Arraial Do Cabo,BR,75.2,broken clouds,-22.97,-42.03,Pousada Porto Praia
87,Bambous Virieux,MU,77.0,broken clouds,-20.34,57.76,Casa Tia Villa
92,Puerto Ayora,EC,80.6,clear sky,-0.74,-90.35,Finch Bay Galapagos Hotel
94,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
97,Dicabisagan,PH,77.88,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
98,Ahuimanu,US,82.4,clear sky,21.44,-157.84,Paradise Bay Resort
103,Mahebourg,MU,77.0,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
112,The Valley,AI,80.6,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
121,Las Varas,MX,77.0,overcast clouds,21.17,-105.17,Casa Palapas
122,Celestun,MX,77.41,few clouds,20.87,-90.4,Posada Lilia
125,Vaini,TO,82.4,light rain,-21.2,-175.2,Keleti Beach Resort
126,Bonthe,SL,79.79,few clouds,7.53,-12.51,Bonthe Holiday Village
127,Parintins,BR,85.55,broken clouds,-2.63,-56.74,Cama e Cafe
130,Bartica,GY,80.6,few clouds,6.4,-58.62,La Vista Hotel and Apartment
132,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
135,Viedma,AR,84.99,scattered clouds,-40.81,-63.0,Hotel Cristal
145,Dakar,SN,77.0,clear sky,14.69,-17.44,Novotel Dakar
151,Lorengau,PG,85.28,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
168,Sabya,SA,80.6,few clouds,17.15,42.63,Aseel Hotel Apartment
173,Grand Gaube,MU,77.0,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
181,Coihaique,CL,77.0,scattered clouds,-45.58,-72.07,Diego De Almagro Coyhaique
189,Santo Domingo,DO,78.8,scattered clouds,18.5,-69.99,Micro Hotel Condo Suites
193,Boa Vista,BR,86.0,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
200,Innisfail,AU,83.25,broken clouds,-17.53,146.03,Moondarra Motel
203,Sao Felix Do Xingu,BR,75.33,overcast clouds,-6.64,-51.99,Apart Hotel Rio Xingu
214,Palu,ID,77.74,overcast clouds,-0.89,119.87,Hotel Santika Palu
215,San Cristobal,VE,84.2,light rain,7.77,-72.22,Pirineos
219,Buin,CL,82.4,clear sky,-33.73,-70.75,Paihuen
222,Oranjestad,AW,82.4,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
223,Andros Town,BS,75.2,broken clouds,24.7,-77.77,Hanks place
226,Port Macquarie,AU,80.01,overcast clouds,-31.43,152.92,Rydges Port Macquarie
228,Saint-Pierre,RE,75.2,clear sky,-21.34,55.48,Lindsey Hôtel
229,Mankono,CI,78.13,clear sky,8.06,-6.19,Hotel Cajoux
231,Labuhan,ID,80.22,overcast clouds,-6.88,112.21,bador sepret
232,Hobyo,SO,78.55,clear sky,5.35,48.53,Halane Hotel and Restaurent
240,Les Cayes,HT,75.97,broken clouds,18.2,-73.75,Villa Orphee
