City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.41,42.8,87,90,16.11,light rain
1,East London,ZA,-33.02,27.91,70.27,91,100,14.7,light rain
2,Punta Arenas,CL,-53.15,-70.92,62.6,55,75,27.51,broken clouds
3,Tasiilaq,GL,65.61,-37.64,26.6,68,100,8.05,light snow
4,Bluff,NZ,-46.6,168.33,56.75,76,49,14.34,scattered clouds
5,Busselton,AU,-33.65,115.33,60.01,77,0,3.0,clear sky
6,Oranjemund,NA,-28.55,16.43,63.59,81,87,6.67,overcast clouds
7,Galle,LK,6.04,80.22,77.0,84,76,3.18,broken clouds
8,Narsaq,GL,60.92,-46.05,28.4,68,56,4.7,broken clouds
9,Vardo,NO,70.37,31.11,26.6,79,40,4.7,scattered clouds
10,Ushuaia,AR,-54.8,-68.3,51.8,87,75,2.24,light rain
11,Ithaca,US,42.44,-76.5,30.0,74,90,12.75,light snow
12,Avarua,CK,-21.21,-159.78,84.2,74,93,17.22,overcast clouds
13,Yellowknife,CA,62.46,-114.35,19.4,92,90,4.7,light snow
14,Santa Maria Da Vitoria,BR,-13.39,-44.19,75.97,67,34,2.1,scattered clouds
15,Jaciara,BR,-15.97,-54.97,80.64,64,94,2.68,overcast clouds
16,Port Hardy,CA,50.7,-127.42,50.0,76,90,20.8,light intensity shower rain
17,Port Alfred,ZA,-33.59,26.89,68.86,89,100,24.58,light rain
18,Atuona,PF,-9.8,-139.03,78.44,74,1,15.61,clear sky
19,Tisul,RU,55.76,88.31,10.62,90,99,10.92,overcast clouds
20,Pangody,RU,65.85,74.49,25.29,98,98,22.28,light snow
21,Cape Town,ZA,-33.93,18.42,69.8,68,20,10.29,few clouds
22,Saskylakh,RU,71.92,114.08,-9.11,89,100,6.91,overcast clouds
23,Esperance,AU,-33.87,121.9,59.0,62,90,8.05,overcast clouds
24,Fairbanks,US,64.84,-147.72,3.0,70,75,6.93,broken clouds
25,Krasnoselkup,RU,65.7,82.47,14.38,96,100,12.82,light snow
26,Holoby,UA,51.09,25.01,32.0,95,0,1.01,clear sky
27,Teshie,GH,5.58,-0.11,82.4,83,20,10.29,few clouds
28,Lasa,IT,46.62,10.7,37.0,74,75,6.93,snow
29,Newport,GB,51.59,-3.0,42.01,95,100,2.57,overcast clouds
30,Poum,NC,-20.23,164.02,79.86,77,1,11.86,clear sky
31,Chuy,UY,-33.7,-53.46,58.26,70,7,6.76,clear sky
